iter	Passed	Remaining
468	693	785
469	694	783
470	695	781
471	697	780
472	698	778
473	699	775
474	700	774
475	701	772
476	702	770
477	703	768
478	704	766
479	705	764
480	707	762
481	708	761
482	709	759
483	710	757
484	712	756
485	714	755
486	715	753
487	716	751
488	717	749
489	718	747
490	719	745
491	720	743
492	721	742
493	722	740
494	723	738
495	724	736
496	726	735
497	727	733
498	728	731
499	729	729
500	730	727
501	731	726
502	732	724
503	734	722
504	735	720
505	736	719
506	737	717
507	738	715
508	739	713
509	741	712
510	742	710
511	743	708
512	745	707
513	746	705
514	747	703
515	748	701
516	749	700
517	750	698
518	751	696
519	752	694
520	753	692
521	755	691
522	756	690
523	757	688
524	758	686
525	759	684
526	760	682
527	762	681
528	763	679
529	764	677
530	765	676
531	766	674
532	767	672
533	768	670
534	769	669
535	771	667
536	772	665
537	773	663
538	774	662
539	775	660
540	776	658
541	776	656
542	777	654
543	778	652
544	779	650
545	780	649
546	781	647
547	782	645
548	783	643
549	784	641
550	786	640
551	787	638
552	788	636
553	788	635
554	789	633
555	790	631
556	791	629
557	792	627
558	793	625
559	794	623
560	794	622
561	795	620
562	796	618
563	797	616
564	798	614
565	800	613
566	801	611
567	802	610
568	803	608
569	803	606
570	804	604
571	805	602
572	806	600
573	807	599
574	808	597
575	809	595
576	810	593
577	811	592
578	811	590
579	812	588
580	813	586
581	815	585
582	816	584
583	817	582
584	818	580
585	819	578
586	819	576
587	820	575
588	821	573
589	822	571
590	823	569
591	824	568
592	825	566
593	826	564
594	827	563
595	828	561
596	829	559
597	831	558
598	832	557
599	833	555
600	834	553
601	835	552
602	835	550
603	836	548
604	837	546
605	838	545
606	839	543
607	840	541
608	841	540
609	842	538
610	843	536
611	844	535
612	845	534
613	846	532
614	847	530
615	848	529
616	849	527
617	850	525
618	851	523
619	852	522
620	852	520
621	853	518
622	854	517
623	855	515
624	856	513
625	857	512
626	858	510
627	860	509
628	861	508
629	862	506
630	863	504
631	864	503
632	864	501
633	865	499
634	866	498
635	867	496
636	868	494
637	869	493
638	870	491
639	871	490
640	872	488
641	873	486
642	874	485
643	876	484
644	877	482
645	878	481
646	878	479
647	879	477
648	880	476
649	881	474
650	882	473
651	883	471
652	884	469
653	885	468
654	886	466
655	887	465
656	888	463
657	889	462
658	890	460
659	891	459
660	892	457
661	893	456
662	894	454
663	895	453
664	896	451
665	897	449
666	898	448
667	899	446
668	900	445
669	900	443
670	901	442
671	903	440
672	904	439
673	905	438
674	906	436
675	907	435
676	908	433
677	909	431
678	910	430
679	911	428
680	912	427
681	913	425
682	914	424
683	915	422
684	916	421
685	916	419
686	918	418
687	919	417
688	920	415
689	921	414
690	922	412
691	923	410
692	924	409
693	925	408
694	926	406
695	927	404
696	928	403
697	928	401
698	929	400
699	930	398
700	931	397
701	932	395
702	934	394
703	935	393
704	936	391
705	937	390
706	937	388
707	939	387
708	939	385
709	940	384
710	941	382
711	942	381
712	943	379
713	944	378
714	945	376
715	946	375
716	947	374
717	949	372
718	950	371
719	951	369
720	952	368
721	952	366
722	953	365
723	954	363
724	955	362
725	956	360
726	957	359
727	958	358
728	959	356
729	960	355
730	961	353
731	961	352
732	963	350
733	964	349
734	965	348
735	966	346
736	967	345
737	968	343
738	969	342
739	970	340
740	971	339
741	972	338
742	973	336
743	974	335
744	975	333
745	976	332
746	976	330
747	978	329
748	979	328
749	980	326
750	981	325
751	982	323
752	983	322
753	984	321
754	985	319
755	985	318
756	986	316
757	987	315
758	988	313
759	989	312
760	990	311
761	991	309
762	992	308
763	994	307
764	995	305
765	996	304
766	997	302
767	998	301
768	999	300
769	999	298
770	1000	297
771	1001	295
772	1002	294
773	1003	293
774	1004	291
775	1005	290
776	1006	288
777	1007	287
778	1009	286
779	1010	284
780	1011	283
781	1011	282
782	1012	280
783	1014	279
784	1015	278
785	1016	276
786	1017	275
787	1018	273
788	1019	272
789	1020	271
790	1021	269
791	1022	268
792	1023	267
793	1024	265
794	1025	264
795	1026	263
796	1027	261
797	1028	260
798	1029	259
799	1030	257
800	1031	256
801	1032	254
802	1033	253
803	1034	252
804	1035	250
805	1036	249
806	1037	248
807	1038	246
808	1039	245
809	1040	244
810	1041	242
811	1042	241
812	1043	239
813	1044	238
814	1044	237
815	1046	235
816	1047	234
817	1047	233
818	1048	231
819	1049	230
820	1050	229
821	1052	227
822	1053	226
823	1054	225
824	1055	223
825	1056	222
826	1057	221
827	1058	219
828	1058	218
829	1059	217
830	1060	215
831	1061	214
832	1062	213
833	1063	211
834	1064	210
835	1065	208
836	1066	207
837	1067	206
838	1068	205
839	1069	203
840	1070	202
841	1071	201
842	1072	199
843	1073	198
844	1073	196
845	1074	195
846	1075	194
847	1076	192
848	1077	191
849	1078	190
850	1079	189
851	1081	187
852	1082	186
853	1083	185
854	1084	183
855	1085	182
856	1086	181
857	1087	180
858	1088	178
859	1089	177
860	1090	176
861	1091	174
862	1092	173
863	1093	172
864	1094	170
865	1095	169
866	1096	168
867	1098	167
868	1099	165
869	1100	164
870	1100	163
871	1101	161
872	1102	160
873	1103	159
874	1104	157
875	1105	156
876	1107	155
877	1108	153
878	1108	152
879	1109	151
880	1110	150
881	1112	148
882	1113	147
883	1114	146
884	1115	144
885	1116	143
886	1117	142
887	1118	141
888	1119	139
889	1120	138
890	1121	137
891	1122	135
892	1123	134
893	1123	133
894	1124	131
895	1126	130
896	1127	129
897	1128	128
898	1129	126
899	1130	125
900	1131	124
901	1132	123
902	1133	121
903	1134	120
904	1135	119
905	1136	117
906	1137	116
907	1138	115
908	1139	114
909	1140	112
910	1142	111
911	1143	110
912	1144	109
913	1145	107
914	1146	106
915	1147	105
916	1148	103
917	1149	102
918	1150	101
919	1151	100
920	1152	98
921	1153	97
922	1154	96
923	1155	95
924	1156	93
925	1157	92
926	1159	91
927	1159	89
928	1160	88
929	1161	87
930	1162	86
931	1163	84
932	1164	83
933	1165	82
934	1166	81
935	1167	79
936	1168	78
937	1169	77
938	1170	76
939	1171	74
940	1172	73
941	1173	72
942	1174	71
943	1175	69
944	1176	68
945	1177	67
946	1178	65
947	1179	64
948	1180	63
949	1181	62
950	1181	60
951	1182	59
952	1183	58
953	1184	57
954	1186	55
955	1187	54
956	1188	53
957	1189	52
958	1190	50
959	1191	49
960	1192	48
961	1192	47
962	1193	45
963	1194	44
964	1195	43
965	1196	42
966	1197	40
967	1198	39
968	1199	38
969	1201	37
970	1202	35
971	1203	34
972	1204	33
973	1206	32
974	1207	30
975	1208	29
976	1209	28
977	1210	27
978	1211	25
979	1212	24
980	1213	23
981	1215	22
982	1216	21
983	1217	19
984	1218	18
985	1219	17
986	1220	16
987	1221	14
988	1222	13
989	1224	12
990	1224	11
991	1226	9
992	1227	8
993	1228	7
994	1229	6
995	1233	4
996	1234	3
997	1235	2
998	1236	1
999	1237	0
